Date,Rainfall_Mangona,Rain_sum_previous_21_days,day_of_year,week_of_year,Rain_sum_previous_28_days,Rain_sum_previous_14_days,quarter,Rainfall_S_Piero,year_month,Rain_weekly_sum_3_weeks_before,Rain_weekly_sum_2_weeks_before,Rainfall_S_Agata,month,Rainfall_Le_Croci,season,Rain_weekly_sum_4_weeks_before,Rain_sum_previous_7_days,Temperature_Le_Croci,sum_Rainfall,mean_Rainfall,Rainfall_Cavallina,year,Flow_Rate,Lake_Level
2004-03-01,4.6,133.95000000000005,61,10,141.40000000000006,133.8,1,0.0,2004-03-01,0.1500000000000341,71.95000000000002,0.0,3,7.6,2,7.450000000000017,61.849999999999994,1.6,5.0,1.25,0.4,2004,8.9,251.99
2004-03-02,0.0,133.95000000000005,62,10,140.95000000000007,133.8,1,0.0,2004-03-02,0.1500000000000341,95.25000000000001,0.0,3,0.0,2,7.000000000000028,38.55,1.55,0.0,0.0,0.0,2004,8.6,251.95
2004-03-03,0.0,133.90000000000003,63,10,140.95000000000007,133.8,1,0.0,2004-03-03,0.10000000000002274,95.30000000000001,0.0,3,0.0,2,7.05000000000004,38.5,2.7,0.0,0.0,0.0,2004,7.1,251.9
2004-03-04,0.0,133.90000000000003,64,10,140.95000000000007,124.15,1,0.0,2004-03-04,9.750000000000028,88.85000000000001,0.0,3,0.0,2,7.05000000000004,35.3,7.2,0.0,0.0,0.0,2004,6.1,251.91
2004-03-05,0.0,133.85000000000002,65,10,140.95000000000007,102.0,1,0.0,2004-03-05,31.850000000000023,80.85,0.0,3,0.0,2,7.100000000000051,21.15,8.7,0.0,0.0,0.0,2004,6.2,251.91
2004-03-06,13.8,146.45000000000002,66,10,153.55000000000007,113.45,1,11.4,2004-03-06,33.000000000000014,82.10000000000001,9.2,3,20.8,2,7.100000000000051,31.349999999999998,7.75,50.599999999999994,12.649999999999999,16.2,2004,6.3,251.91
2004-03-07,7.4,153.05,67,10,154.60000000000005,102.0,1,5.6,2004-03-07,51.05000000000001,71.1,6.6,3,11.2,2,1.5500000000000398,30.9,3.35,26.4,6.6,6.8,2004,7.7,252.0
2004-03-08,1.8,153.75,68,11,153.90000000000003,81.8,1,0.2,2004-03-08,71.95,60.599999999999994,0.6,3,0.4,2,0.1500000000000341,21.2,1.35,2.8000000000000003,0.7000000000000001,0.2,2004,7.9,251.98
2004-03-09,0.0,153.75,69,11,153.90000000000003,58.5,1,0.0,2004-03-09,95.25,38.55,0.0,3,0.0,2,0.1500000000000341,19.95,2.85,0.0,0.0,0.0,2004,7.0,251.96
2004-03-10,4.4,156.05,70,11,156.15000000000003,60.75,1,1.0,2004-03-10,95.30000000000001,38.5,1.6,3,2.2,2,0.10000000000002274,22.25,5.05,9.200000000000001,2.3000000000000003,2.2,2004,6.4,251.94
2004-03-11,14.4,155.65,71,11,165.40000000000003,66.8,1,7.2,2004-03-11,88.85000000000001,35.3,7.6,3,8.6,2,9.750000000000028,31.5,6.05,37.0,9.25,7.8,2004,6.7,251.93
2004-03-12,0.0,133.54999999999998,72,11,165.4,52.699999999999996,1,0.0,2004-03-12,80.85,21.15,0.0,3,0.0,2,31.850000000000023,31.549999999999997,4.3,0.2,0.05,0.2,2004,7.1,251.95
2004-03-13,0.0,132.35,73,11,165.35,50.24999999999999,1,0.0,2004-03-13,82.1,18.699999999999996,0.0,3,0.0,2,33.0,31.549999999999997,7.05,0.0,0.0,0.0,2004,7.3,251.94
2004-03-14,0.0,114.29999999999998,74,11,165.35,43.199999999999996,1,0.0,2004-03-14,71.1,24.299999999999997,0.0,3,0.0,2,51.05000000000001,18.9,10.25,0.0,0.0,0.0,2004,6.9,251.93
2004-03-15,0.0,93.39999999999999,75,12,165.35,32.8,1,0.0,2004-03-15,60.599999999999994,20.499999999999996,0.0,3,0.0,2,71.95,12.3,12.5,0.0,0.0,0.0,2004,6.9,251.91
2004-03-16,0.0,70.1,76,12,165.35,31.549999999999997,1,0.0,2004-03-16,38.55,19.949999999999996,0.0,3,0.0,2,95.25,11.600000000000001,14.6,0.0,0.0,0.0,2004,6.2,251.88
2004-03-17,0.0,70.05,77,12,165.35,31.549999999999997,1,0.0,2004-03-17,38.5,19.949999999999996,0.0,3,0.0,2,95.3,11.600000000000001,14.45,0.0,0.0,0.0,2004,5.6,251.86
2004-03-18,0.0,66.85,78,12,155.7,31.549999999999997,1,0.0,2004-03-18,35.3,22.249999999999996,0.0,3,0.0,2,88.85,9.3,16.45,0.0,0.0,0.0,2004,5.6,251.84
2004-03-19,0.0,52.699999999999996,79,12,133.54999999999998,31.549999999999997,1,0.0,2004-03-19,21.15,31.499999999999996,0.0,3,0.0,2,80.85,0.05,14.25,0.0,0.0,0.0,2004,5.2,251.84
2004-03-20,0.4,50.699999999999996,80,12,132.8,32.0,1,0.0,2004-03-20,18.699999999999996,31.55,1.2,3,0.6,2,82.10000000000002,0.45,9.6,1.8,0.45,0.2,2004,4.6,251.84
2004-03-21,2.2,45.24999999999999,81,12,116.35,20.95,1,1.0,2004-03-21,24.299999999999994,18.9,1.4,3,1.2,2,71.1,2.0500000000000003,10.9,6.4,1.6,1.8,2004,4.6,251.84
2004-03-22,0.6,35.0,82,13,95.6,14.5,1,0.0,2004-03-22,20.5,12.3,0.0,3,0.0,2,60.599999999999994,2.2,11.85,0.6,0.15,0.0,2004,4.6,251.83
2004-03-23,11.0,40.949999999999996,83,13,79.5,21.0,1,5.6,2004-03-23,19.949999999999996,11.600000000000001,5.0,3,9.0,2,38.550000000000004,9.399999999999999,10.3,28.799999999999997,7.199999999999999,7.2,2004,4.8,251.84
2004-03-24,0.2,41.05,84,13,79.55,21.099999999999998,1,0.2,2004-03-24,19.95,11.6,0.0,3,1.2,2,38.5,9.499999999999998,6.8,0.4,0.1,0.0,2004,4.8,251.83
2004-03-25,0.4,41.9,85,13,77.2,19.65,1,1.6,2004-03-25,22.25,9.3,0.4,3,2.6,2,35.300000000000004,10.349999999999998,6.85,3.4,0.85,1.0,2004,4.8,251.8
2004-03-26,0.2,41.949999999999996,86,13,63.099999999999994,10.45,1,0.0,2004-03-26,31.499999999999996,0.05000000000000071,0.0,3,0.4,2,21.15,10.399999999999999,6.9,0.2,0.05,0.0,2004,4.7,251.78
2004-03-27,0.0,41.949999999999996,87,13,60.64999999999999,10.399999999999999,1,0.0,2004-03-27,31.549999999999997,0.0,0.0,3,0.0,2,18.699999999999996,10.399999999999999,8.0,0.0,0.0,0.0,2004,4.6,251.77
2004-03-28,0.0,29.299999999999997,88,13,53.599999999999994,10.399999999999999,1,0.0,2004-03-28,18.9,0.4499999999999993,0.0,3,0.0,2,24.299999999999997,9.95,9.35,0.0,0.0,0.0,2004,4.6,251.75
2004-03-29,0.0,22.7,89,14,43.199999999999996,10.399999999999999,1,0.0,2004-03-29,12.3,2.049999999999999,0.0,3,0.0,2,20.499999999999996,8.35,10.45,0.0,0.0,0.0,2004,0.6,251.72
2004-03-30,0.0,22.0,90,14,41.949999999999996,10.399999999999999,1,0.0,2004-03-30,11.600000000000001,2.1999999999999993,0.0,3,0.0,2,19.949999999999996,8.2,11.6,0.0,0.0,0.0,2004,0.6,251.73
2004-03-31,8.0,30.3,91,14,50.25,18.7,1,8.2,2004-03-31,11.600000000000001,9.399999999999999,8.2,3,10.2,2,19.95,9.3,11.2,33.2,8.3,8.8,2004,0.6,251.74
2004-04-01,0.0,28.0,92,14,50.25,18.7,2,0.0,2004-04-01,9.3,9.499999999999998,0.0,4,0.0,2,22.25,9.200000000000001,9.75,0.0,0.0,0.0,2004,0.6,251.75
2004-04-02,0.0,18.75,93,14,50.25,18.7,2,0.0,2004-04-02,0.05000000000000071,10.349999999999998,0.0,4,0.0,2,31.5,8.350000000000001,12.45,0.0,0.0,0.0,2004,0.6,251.76
2004-04-03,0.0,18.7,94,14,50.25,18.7,2,0.0,2004-04-03,0.0,10.399999999999999,0.0,4,0.0,2,31.55,8.3,15.0,0.0,0.0,0.0,2004,0.6,251.77
2004-04-04,0.0,18.7,95,14,37.6,18.25,2,0.0,2004-04-04,0.4499999999999993,9.95,0.0,4,0.0,2,18.900000000000002,8.3,15.95,0.0,0.0,0.0,2004,0.6,251.78
2004-04-05,0.0,18.7,96,15,31.0,16.65,2,0.0,2004-04-05,2.0500000000000007,8.349999999999998,0.0,4,0.0,2,12.3,8.3,14.3,0.0,0.0,0.0,2004,0.6,251.8
2004-04-06,1.0,19.0,97,15,30.6,16.8,2,0.2,2004-04-06,2.1999999999999993,8.2,0.0,4,0.0,2,11.600000000000001,8.600000000000001,12.4,1.2,0.3,0.0,2004,0.6,251.82
2004-04-07,12.6,32.550000000000004,98,15,44.15,23.150000000000006,2,13.4,2004-04-07,9.399999999999999,1.0000000000000036,11.2,4,23.6,2,11.599999999999994,22.150000000000002,10.75,54.2,13.55,17.0,2004,0.6,251.84
2004-04-08,0.4,32.70000000000001,99,15,42.00000000000001,23.200000000000006,2,0.2,2004-04-08,9.500000000000004,9.200000000000005,0.0,4,0.2,2,9.299999999999997,14.000000000000002,6.5,0.6000000000000001,0.15000000000000002,0.0,2004,0.6,251.87
2004-04-09,7.4,40.55000000000001,100,15,40.60000000000001,30.200000000000003,2,7.2,2004-04-09,10.350000000000009,8.350000000000001,8.4,4,10.4,2,0.04999999999999716,21.85,11.6,31.4,7.85,8.4,2004,0.6,251.9
2004-04-10,0.4,40.70000000000001,101,15,40.70000000000001,30.300000000000004,2,0.2,2004-04-10,10.400000000000006,8.3,0.0,4,0.2,2,0.0,22.000000000000004,8.3,0.6000000000000001,0.15000000000000002,0.0,2004,0.6,251.93
2004-04-11,0.0,40.25000000000001,102,15,40.70000000000001,30.300000000000004,2,0.0,2004-04-11,9.950000000000003,8.3,0.0,4,0.0,2,0.45000000000000284,22.000000000000004,9.3,0.0,0.0,0.0,2004,0.6,251.95
2004-04-12,3.6,41.300000000000004,103,16,43.35000000000001,32.95,2,0.6,2004-04-12,8.350000000000001,8.3,5.2,4,2.4,2,2.0500000000000043,24.650000000000002,12.15,10.6,2.65,1.2,2004,0.6,251.98
2004-04-13,0.2,41.3,104,16,43.5,33.1,2,0.0,2004-04-13,8.199999999999996,8.3,0.2,4,0.4,2,2.200000000000003,24.8,7.05,0.6000000000000001,0.15000000000000002,0.2,2004,0.6,252.0
2004-04-14,0.0,34.1,105,16,43.5,33.1,2,0.0,2004-04-14,1.0,8.600000000000001,0.0,4,0.0,2,9.399999999999999,24.5,9.3,0.0,0.0,0.0,2004,0.6,252.0
2004-04-15,3.4,36.15,106,16,45.650000000000006,26.95,2,0.4,2004-04-15,9.2,13.85,2.4,4,1.8,2,9.500000000000007,13.1,10.65,8.6,2.15,2.4,2004,0.6,252.0
2004-04-16,19.4,52.19999999999999,107,16,62.55,43.849999999999994,2,14.4,2004-04-16,8.349999999999994,14.0,14.8,4,19.8,2,10.350000000000009,29.849999999999994,11.45,67.6,16.9,19.0,2004,2.9,252.01
2004-04-17,3.6,56.999999999999986,108,16,67.39999999999999,48.69999999999999,2,6.2,2004-04-17,8.299999999999997,21.849999999999994,6.4,4,4.2,2,10.400000000000006,26.849999999999994,12.0,19.4,4.85,3.2,2004,7.4,252.08
2004-04-18,4.2,59.79999999999998,109,16,69.74999999999999,51.499999999999986,2,2.2,2004-04-18,8.299999999999997,21.999999999999993,2.2,4,5.2,2,9.950000000000003,29.499999999999993,11.8,11.2,2.8,2.6,2004,9.9,252.09
2004-04-19,10.6,69.79999999999998,110,17,78.14999999999998,61.499999999999986,2,9.4,2004-04-19,8.299999999999997,21.999999999999993,10.4,4,12.6,2,8.349999999999994,39.49999999999999,10.95,40.0,10.0,9.6,2004,9.5,252.09
2004-04-20,0.2,70.49999999999999,111,17,78.69999999999997,62.19999999999999,2,0.8,2004-04-20,8.299999999999997,24.64999999999999,1.2,4,0.6,2,8.199999999999989,37.55,8.9,2.8,0.7,0.6,2004,10.0,252.11
2004-04-21,0.0,70.54999999999998,112,17,71.54999999999997,61.94999999999999,2,0.2,2004-04-21,8.599999999999994,24.499999999999993,0.0,4,0.0,2,0.9999999999999858,37.449999999999996,13.5,0.2,0.05,0.0,2004,9.8,252.11
2004-04-22,0.0,62.249999999999986,113,17,71.44999999999997,48.39999999999999,2,0.0,2004-04-22,13.849999999999994,10.949999999999996,0.0,4,0.0,2,9.199999999999989,37.449999999999996,15.8,0.0,0.0,0.0,2004,9.3,252.09
2004-04-23,0.0,62.249999999999986,114,17,70.59999999999998,48.24999999999999,2,0.0,2004-04-23,13.999999999999993,12.949999999999996,0.0,4,0.0,2,8.349999999999994,35.3,16.9,0.0,0.0,0.0,2004,7.5,252.08
2004-04-24,13.8,74.3,115,17,82.6,52.449999999999996,2,11.2,2004-04-24,21.85,21.999999999999993,10.8,4,14.0,2,8.299999999999997,30.450000000000003,18.25,48.2,12.05,12.4,2004,6.8,252.07
2004-04-25,0.0,74.35,116,17,82.64999999999999,52.349999999999994,2,0.2,2004-04-25,22.0,26.699999999999992,0.0,4,0.0,2,8.299999999999997,25.650000000000002,15.45,0.2,0.05,0.0,2004,6.8,252.07
2004-04-26,0.0,74.35,117,18,82.64999999999999,52.349999999999994,2,0.0,2004-04-26,22.0,29.499999999999993,0.0,4,0.0,2,8.299999999999997,22.85,13.2,0.0,0.0,0.0,2004,5.0,252.06
2004-04-27,0.0,74.35,118,18,82.64999999999999,49.699999999999996,2,0.0,2004-04-27,24.65,36.849999999999994,0.0,4,0.0,2,8.299999999999997,12.850000000000001,13.85,0.0,0.0,0.0,2004,5.2,252.05
2004-04-28,0.0,74.05,119,18,82.64999999999999,49.55,2,0.0,2004-04-28,24.5,37.39999999999999,0.0,4,0.0,2,8.599999999999994,12.150000000000002,15.05,0.0,0.0,0.0,2004,5.0,252.05
2004-04-29,0.2,60.79999999999999,120,18,74.64999999999999,49.849999999999994,2,0.4,2004-04-29,10.949999999999996,37.449999999999996,0.4,4,0.6,2,13.850000000000001,12.4,15.0,1.2000000000000002,0.30000000000000004,0.2,2004,4.8,252.05
2004-04-30,3.8,63.9,121,18,77.89999999999999,50.95,2,2.6,2004-04-30,12.949999999999996,35.300000000000004,4.0,4,3.2,2,13.999999999999993,15.65,15.7,13.0,3.25,2.6,2004,4.6,252.05
2004-05-01,0.0,56.05,122,18,77.89999999999999,34.050000000000004,2,0.0,2004-05-01,21.999999999999993,18.400000000000006,0.0,5,0.0,2,21.849999999999994,15.65,13.9,0.0,0.0,0.0,2004,3.9,252.05
2004-05-02,1.8,59.449999999999996,123,18,81.44999999999999,32.75,2,2.8,2004-05-02,26.699999999999996,25.6,4.4,5,3.6,2,21.999999999999993,7.15,14.45,14.200000000000001,3.5500000000000003,5.2,2004,3.2,252.04
2004-05-03,13.8,65.05,124,19,87.05,35.550000000000004,2,2.4,2004-05-03,29.499999999999993,22.85,2.8,5,4.6,2,22.0,12.700000000000001,14.6,22.4,5.6,3.4,2004,3.0,252.04
2004-05-04,46.6,95.30000000000001,125,19,119.95000000000002,58.45,2,24.2,2004-05-04,36.85000000000001,12.850000000000001,27.0,5,39.8,2,24.650000000000006,45.6,16.9,131.60000000000002,32.900000000000006,33.8,2004,11.8,252.06
2004-05-05,28.4,118.5,126,19,143.00000000000003,81.1,2,19.6,2004-05-05,37.400000000000006,12.149999999999991,16.4,5,30.6,2,24.50000000000003,68.95,12.95,93.4,23.35,29.0,2004,25.5,252.23
